user_id,book_id,rating
7,19,2
3,25,3
28,20,4
15,12,3
22,4,3
37,19,3
17,9,2
4,12,4
19,4,2
14,6,4
38,11,3
31,21,3
34,10,3
10,18,3
34,5,3
32,20,4
19,18,3
23,12,2
2,4,5
18,17,4
35,15,4
23,16,5
4,14,4
25,1,3
40,6,3
40,22,2
33,2,3
37,8,4
6,14,3
40,17,3
17,21,2
14,1,3
31,19,3
29,5,3
38,4,3
20,12,3
10,8,3
25,10,2
14,3,2
15,23,2
19,7,4
11,20,4
32,12,4
4,3,4
6,12,1
29,8,5
22,5,2
1,19,3
27,11,3
6,15,4
26,3,3
32,2,5
8,9,5
28,3,2
32,5,2
40,15,2
25,15,3
7,24,2
19,20,5
12,13,5
18,24,2
22,12,5
39,9,3
34,11,3
15,21,3
13,14,3
27,17,3
30,19,3
13,3,3
10,1,4
22,10,2
19,21,2
9,24,3
25,13,3
40,24,5
22,2,3
39,25,3
4,19,3
9,23,3
19,8,3
14,17,4
36,3,4
16,7,2
38,7,4
3,21,3
30,5,4
29,22,4
12,8,4
13,25,3
18,4,3
7,6,5
1,17,1
38,18,2
17,5,3
2,18,2
34,4,3
39,8,4
21,17,4
21,8,4
20,1,3
6,16,2
29,4,3
1,25,5
8,24,4
18,12,2
34,1,4
12,21,2
19,6,3
31,16,3
5,10,4
5,17,1
11,12,5
11,6,2
34,21,5
36,2,3
15,4,5
13,8,3
37,24,3
7,8,3
19,3,3
29,2,3
34,2,3
21,18,5
34,8,5
30,22,2
20,5,5
10,7,4
12,2,2
4,21,3
17,24,1
34,22,3
10,25,3
24,20,5
25,20,3
34,14,3
39,22,2
32,10,3
3,4,3
7,11,5
14,10,4
30,9,3
8,18,3
32,24,4
35,13,4
19,14,5
20,17,4
23,14,3
3,8,4
2,6,4
21,22,3
39,16,4
25,19,5
21,24,3
39,24,3
17,15,4
40,20,2
4,7,2
3,3,3
1,15,1
28,14,3
37,20,5
10,15,2
34,3,3
29,3,5
30,11,2
9,17,5
30,23,5
26,7,2
22,8,3
39,4,4
23,11,4
6,19,2
38,24,3
25,12,3
27,25,4
34,24,3
11,22,3
5,4,4
22,1,4
29,21,2
39,12,4
1,8,3
30,20,2
16,25,3
28,8,3
2,3,3
25,3,3
35,1,2
35,20,5
1,23,3
37,1,3
7,2,1
40,21,2
12,22,2
27,21,3
5,20,4
33,21,4
28,13,4
22,16,2
33,19,2
1,7,4
21,25,2
21,2,2
1,2,3
15,3,3
24,12,3
11,16,3
10,24,3
22,18,3
7,4,3
28,11,5
6,3,3
4,8,4
32,16,3
39,11,2
34,6,1
25,8,3
12,11,5
6,6,2
15,15,3
22,17,5
10,20,4
8,11,3
39,13,4
23,23,4
30,14,2
21,21,4
35,22,3
23,9,3
30,8,3
18,21,3
17,10,4
10,16,3
21,10,3
4,25,3
17,8,5
6,18,3
38,17,3
27,6,3
19,5,4
37,25,4
9,21,4
27,4,4
34,19,3
37,4,2
10,23,3
26,6,4
8,13,4
29,13,4
11,7,2
35,16,3
17,17,3
25,2,2
36,9,3
14,13,3
28,22,3
18,23,2
5,22,2
24,13,3
21,3,4
40,23,3
16,5,4
13,5,3
25,24,5
23,1,5
7,18,3
29,25,4
36,12,3
27,23,2
12,25,4
19,22,4
21,19,2
26,14,5
17,25,2
39,19,3
1,4,2
21,20,3
36,25,3
14,25,3
3,20,4
9,14,2
11,24,4
3,10,3
31,18,5
1,22,2
16,21,3
37,6,4
10,22,3
11,17,3
31,11,3
25,17,2
17,22,4
32,22,4
29,15,3
5,7,3
35,5,5
28,9,2
22,25,3
32,11,3
5,15,1
20,23,5
14,4,5
4,2,4
13,12,3
18,11,3
21,14,3
14,23,1
36,23,3
40,19,5
2,8,2
12,9,3
14,22,3
3,15,3
26,11,4
38,25,4
11,21,3
7,15,4
13,24,5
6,1,1
30,3,4
3,7,2
40,12,3
32,8,3
35,3,3
36,18,2
40,8,3
10,11,4
12,3,2
7,1,4
11,13,3
17,11,3
22,7,5
24,7,2
35,18,4
20,2,2
8,4,5
13,4,5
4,1,4
33,1,3
29,16,4
4,15,2
36,20,2
12,7,3
4,10,2
6,8,4
5,16,4
21,11,4
16,1,2
27,19,5
13,19,5
5,23,5
10,4,3
27,18,5
32,13,2
11,1,3
23,25,4
16,4,5
4,23,4
7,16,4
18,15,3
8,1,4
34,7,2
8,14,5
31,17,4
31,15,3
6,11,3
38,1,2
15,14,4
38,3,3
27,10,3
15,25,3
28,5,3
14,12,1
26,22,3
17,13,5
22,20,4
18,3,3
1,6,5
19,1,5
40,10,5
38,23,3
26,8,5
23,15,2
1,16,4
21,12,4
15,10,3
14,5,3
2,9,5
30,7,2
19,19,3
14,7,4
40,5,3
3,12,3
6,2,2
4,24,3
27,13,3
13,20,3
31,23,5
25,25,2
24,2,3
