book_id,title,author,genre
1,The Silent Forest,Author A,Fantasy
2,Shadows of Time,Author B,Mystery
3,Love in Autumn,Author C,Romance
4,The Last Algorithm,Author D,Sci-Fi
5,Whispering Stars,Author E,Non-Fiction
6,Blood Moon Rising,Author F,Fantasy
7,The Paper Kingdom,Author G,Mystery
8,Beyond the Horizon,Author H,Romance
9,Echoes of War,Author I,Sci-Fi
10,The Quiet Storm,Author J,Non-Fiction
11,City of Glass,Author K,Fantasy
12,Winter's Promise,Author L,Mystery
13,The Forgotten Path,Author M,Romance
14,Rise of the Machines,Author N,Sci-Fi
15,Golden Hour,Author O,Non-Fiction
16,The Ocean's Secret,Author P,Fantasy
17,Midnight Library,Author Q,Mystery
18,The Iron Crown,Author R,Romance
19,Letters to Nowhere,Author S,Sci-Fi
20,The Glass House,Author T,Non-Fiction
21,Fire and Ash,Author A,Fantasy
22,The Wandering Mind,Author B,Mystery
23,Song of the Sea,Author C,Romance
24,Broken Compass,Author D,Sci-Fi
25,The Last Chapter,Author E,Non-Fiction
